mode,epoch,n_valid,min,max,mean,median
1,19,3,0,10,2.1811023622047245,2.0
1,19,4,0,12,3.240625,3.0
1,19,5,0,16,4.3241525423728815,4.0
1,19,6,0,24,4.970588235294118,5.0
1,19,7,0,31,5.840863115306811,5.0
1,19,8,0,35,6.1217855409995146,6.0
1,19,9,0,42,6.345319936541513,6.0
1,19,10,0,51,7.260183486238532,6.0
1,19,11,0,65,8.745673336938886,7.0
1,19,12,0,88,11.541269408880414,9.0
1,19,13,0,86,14.810322580645161,12.0
1,19,14,0,101,21.443835616438356,17.0
0,20,1,0,4,0.48936170212765956,0.0
0,20,2,0,32,0.37820267686424475,0.0
0,20,3,0,36,1.1662620831266912,0.0
0,20,4,0,43,2.074275726156704,1.0
0,20,5,0,56,3.2544204491572915,2.0
0,20,6,0,66,4.85672810936512,3.0
0,20,7,0,73,6.122659647719391,5.0
0,20,8,0,87,6.588854460677078,5.0
0,20,9,0,105,7.804619605599525,6.0
0,20,10,0,110,9.754619675844607,7.0
0,20,11,0,134,12.537897936760569,10.0
0,20,12,0,133,16.205150745036104,13.0
0,20,13,0,139,20.37585552409122,17.0
0,20,14,0,153,26.046887874620705,23.0
1,20,1,nan,nan,nan,nan
1,20,2,0,2,0.5,0.0
1,20,3,0,8,1.1732283464566928,1.0
1,20,4,0,10,2.471875,2.0
1,20,5,0,24,3.843220338983051,3.0
1,20,6,0,31,5.196428571428571,4.0
1,20,7,0,35,6.8543492919757245,6.0
1,20,8,0,39,7.311984473556526,6.0
1,20,9,0,49,9.141459545214172,8.0
1,20,10,0,73,12.211376146788991,11.0
1,20,11,0,85,16.58031368307193,15.0
1,20,12,0,109,21.814083356033777,19.0
1,20,13,0,110,27.191225806451612,24.0
1,20,14,0,97,34.50547945205479,32.0
0,21,1,0,5,0.425531914893617,0.0
0,21,2,0,32,0.3904397705544933,0.0
0,21,3,0,37,1.1491912679561136,0.0
0,21,4,0,59,2.129729119072126,1.0
0,21,5,0,64,3.3606297685245052,2.0
0,21,6,0,70,5.07422764076928,4.0
0,21,7,0,82,6.446996526810893,5.0
0,21,8,0,98,6.948307995242926,5.0
0,21,9,0,109,8.294878115641598,6.0
0,21,10,0,120,10.391543419264872,8.0
0,21,11,0,139,13.363221305556662,11.0
0,21,12,0,155,17.229279404527215,14.0
0,21,13,0,143,21.55170406324051,18.0
0,21,14,0,167,27.27671945173274,24.0
1,21,1,nan,nan,nan,nan
1,21,2,0,10,3.0,1.5
1,21,3,0,9,2.0708661417322833,1.0
1,21,4,0,17,4.153125,3.0
1,21,5,0,26,5.976694915254237,5.0
1,21,6,0,35,8.010504201680673,7.0
1,21,7,0,49,10.941335131490222,10.0
1,21,8,0,45,10.842794759825328,9.0
1,21,9,0,57,12.81332628239027,11.0
1,21,10,0,68,16.216330275229357,15.0
1,21,11,0,87,20.164277988101677,19.0
1,21,12,0,98,25.934758921274856,24.0
1,21,13,0,106,32.18064516129032,31.0
1,21,14,0,124,40.05068493150685,38.0
0,22,1,0,3,0.23404255319148937,0.0
0,22,2,0,32,0.35768005098789035,0.0
0,22,3,0,39,1.113909843125995,0.0
0,22,4,0,39,1.9805688750533477,1.0
0,22,5,0,60,3.1457519720677616,2.0
0,22,6,0,65,4.733813875792236,3.0
0,22,7,0,76,5.970339294122412,4.0
0,22,8,0,90,6.411266536468218,5.0
0,22,9,0,94,7.625565151133596,6.0
0,22,10,0,116,9.538686722049594,7.0
0,22,11,0,117,12.315098004601001,10.0
0,22,12,0,143,15.98380133853473,13.0
0,22,13,0,151,20.14733920978774,17.0
0,22,14,0,152,25.678887098452446,23.0
1,22,1,nan,nan,nan,nan
1,22,2,0,4,0.8,0.0
1,22,3,0,8,1.4015748031496063,1.0
1,22,4,0,14,2.25,2.0
1,22,5,0,22,3.9152542372881354,3.0
1,22,6,0,26,5.367647058823529,4.0
1,22,7,0,35,6.700606877950102,5.0
1,22,8,0,40,7.489082969432315,6.0
1,22,9,0,52,8.312533051295611,6.0
1,22,10,0,54,10.06348623853211,8.0
